title,price,property_type,location,publication_date,link,city
Dar soltane à bab el,320000.0,Autre,Bab Bnet,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363614,Bab Bnet
A ne pas rater un appartement,450.0,Appartement,Ezzahrouni,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376198,Ezzahrouni
Local à nabeul,1300.0,Autre,Nabeul,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376196,Nabeul
Villa à hammamet,13500000.0,Villa,Hammamet,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376193,Hammamet
Villa s7 a la marsa,8000.0,Villa,Marsa Ennassim,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376192,Marsa Ennassim
Un terrain avec vue imprenabl,63000.0,Terrain,Hammam Jebli,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376190,Hammam Jebli
Un terrain avec vue impr,63000.0,Terrain,Hammam Jebli,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376189,Hammam Jebli
Un meilleur investissement de,960000.0,Autre,Kerkouane,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376188,Kerkouane
Un meilleur investissement a,960000.0,Autre,Kerkouane,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376187,Kerkouane
Appartement claudia,1500.0,Appartement,Hammamet,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3279592,Hammamet
Villa natalis,2200.0,Villa,Bir Bouregba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3353132,Bir Bouregba
Appartement meublé,1400.0,Appartement,Cite Ennasr 2,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3372336,Cite Ennasr 2
Appartement s1 borj bacc,600.0,Appartement,Borj El Baccouc,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376181,Borj El Baccouc
Lo1759 appartement s1 à la ma,750.0,Appartement,Marsa Ennassim,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376179,Marsa Ennassim
S5 rebelde à montfle,250000.0,Autre,Monfleury,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3356619,Monfleury
Bonne affaire de 1000 mètre c,90000.0,Autre,Hammam Jebli,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376175,Hammam Jebli
Bonne affaire de 1000 mè,90000.0,Autre,Hammam Jebli,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376174,Hammam Jebli
Appart s3 cité mahrajene,1400.0,Appartement,Cite El Mahraje,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376173,Cite El Mahraje
Appartement s2 taieb lmhiri,1200.0,Appartement,El Aouina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3371736,El Aouina
Teerain promoteur mu,4850000.0,Autre,La Mannouba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376170,La Mannouba
S plus 1 cite el wa7at p,1100.0,Autre,El Aouina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3371028,El Aouina
Appart lafayette,1100.0,Appartement,Cite Oplympique,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376168,Cite Oplympique
Terrain ricci à mano,750000.0,Terrain,La Mannouba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3356468,La Mannouba
Appart s4 sapine à c,340000.0,Appartement,Bab Bhar,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3356461,Bab Bhar
A  appartement meubl au,3500.0,Appartement,Jardins de Cart,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376164,Jardins de Cart
Un terrain a ezzahra  de 1000,63000.0,Terrain,Ezzahra,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376166,Ezzahra
Terrain a ezzahra  de 10,63000.0,Terrain,Ezzahra,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376165,Ezzahra
Appart à nord hilton,1200.0,Appartement,Mutuelle Ville,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376163,Mutuelle Ville
Affaire à ne pas rater de970,970000.0,Autre,El Haouaria,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376160,El Haouaria
Affaire à ne pas rater de 970,970000.0,Autre,El Haouaria,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376159,El Haouaria
Villa laetitia,1500000.0,Villa,Hammamet,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3283062,Hammamet
Appartement coke,1250.0,Appartement,Nabeul,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3283270,Nabeul
Maison louka,1500.0,Maison,Hammamet,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3282580,Hammamet
Appart à lafayette,247000.0,Appartement,Tunis Belvedere,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376158,Tunis Belvedere
Offre de 2500 mètre carré a b,1250000.0,Autre,Tamazrat,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376156,Tamazrat
Offre de 2500 mètre carré a t,1250000.0,Autre,Tamazrat,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376155,Tamazrat
Immeuble tunis centre,19999.0,Autre,Bab El Jazira,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376154,Bab El Jazira
1300 mètre carré a hammam jeb,1690000.0,Autre,Hammam Jebli,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376152,Hammam Jebli
Un terrain de 530 mètre carré,795000.0,Terrain,Ezzahra,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376151,Ezzahra
Occasion de1000 mètre ca,90000.0,Autre,Ezzahra,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376149,Ezzahra
